name,price,tracking_method,connection_type,max_dpi,hand_orientation,color,image,skip
SteelSeries Rival 3,39.99,Optical,Wired,8500,Right,Black,thumbnails/mouse_steelseries_rival_3.jpg,0
Glorious Model O-,58.99,Optical,"Wired,Wireless",19000,Right,thumbnails/mouse_glorious_model_o_.jpg,0,
Razer Basilisk V3 Pro 35K,159,Optical,"Wired,Wireless",Bluetooth Wireless,35000,thumbnails/mouse_razer_basilisk_v3_pro_35k.jpg,0,
Razer DeathAdder V3 Pro,90,Optical,Wireless,30000,Right,Black,thumbnails/mouse_razer_deathadder_v3_pro.jpg,0
Redragon COBRA M711,19.98,Optical,Wired,10000,Right,Black / Multicolor,thumbnails/mouse_redragon_cobra_m711.jpg,0
Razer DeathAdder Essential,29.68,Optical,Wired,6400,Right,White,thumbnails/mouse_razer_deathadder_essential.jpg,0
Razer DeathAdder V3,54.99,Optical,Wired,30000,Right,Black,thumbnails/mouse_razer_deathadder_v3.jpg,0
Logitech MX MASTER 3S,119.99,Optical,Wireless,8000,Right,Gray,thumbnails/mouse_logitech_mx_master_3s.jpg,0
Corsair DARK CORE RGB PRO SE,59.99,Optical,Wireless,18000,Right,Black,thumbnails/mouse_corsair_dark_core_rgb_pro_se.jpg,0
Corsair SCIMITAR RGB ELITE,89.99,Optical,Wired,18000,Right,Black,thumbnails/mouse_corsair_scimitar_rgb_elite.jpg,0
Logitech G502 X,121.95,Optical,Wired,Wired,Wireless,25600,thumbnails/mouse_logitech_g502_x.jpg,0
Razer Basilisk V3 X Hyperspeed,43.49,Optical,"Wired,Wireless",Bluetooth Wireless,18000,thumbnails/mouse_razer_basilisk_v3_x_hyperspeed.jpg,0,
EVGA X12,,Optical,Wired,16000,Both,Black,thumbnails/mouse_evga_x12.jpg,0
Logitech PRO X SUPERLIGHT 2 DEX,179.99,Optical,"Wired,Wireless",44000,Right,thumbnails/mouse_logitech_pro_x_superlight_2_dex.jpg,0,
SteelSeries Aerox 3 (2022),79.98,Optical,"Wired,Wireless",Bluetooth Wireless,18000,thumbnails/mouse_steelseries_aerox_3__2022_.jpg,0,
Logitech G703 LIGHTSPEED,72.73,Optical,Wireless,25600,Right,Black,thumbnails/mouse_logitech_g703_lightspeed.jpg,0
Logitech MX MASTER 3S,119.99,Optical,Wireless,8000,Right,Black,thumbnails/mouse_logitech_mx_master_3s.jpg,0
Razer DeathAdder V3 HyperSpeed,74.98,Optical,"Wired,Wireless",26000,Right,thumbnails/mouse_razer_deathadder_v3_hyperspeed.jpg,0,
Razer Basilisk V3 Pro,129,Optical,"Wired,Wireless",Bluetooth Wireless,30000,thumbnails/mouse_razer_basilisk_v3_pro.jpg,0,
Glorious MODEL O,49.99,Optical,Wired,12000,Right,Black,thumbnails/mouse_glorious_model_o.jpg,0
Logitech G303 Daedalus Apex,507.21,Optical,Wired,12000,Right,Black / Orange,thumbnails/mouse_logitech_g303_daedalus_apex.jpg,0
Logitech G502 Proteus Spectrum,84.99,Optical,Wired,12000,Right,Black,thumbnails/mouse_logitech_g502_proteus_spectrum.jpg,0
Razer Viper Ultimate w/Dock,199.95,Optical,Wireless,20000,Both,Black,thumbnails/mouse_razer_viper_ultimate_w_dock.jpg,0
Lenovo GX30M39704 300,7.46,Laser,Wired,,Both,Black / Orange,thumbnails/mouse_lenovo_gx30m39704_300.jpg,0
Corsair M65 RGB ULTRA,79.98,Optical,Wired,26000,Right,Black / Silver,thumbnails/mouse_corsair_m65_rgb_ultra.jpg,0
Logitech G502 X,67.98,Optical,Wired,25600,Right,Black,thumbnails/mouse_logitech_g502_x.jpg,0
Logitech B100,7.99,Optical,Wired,800,,Black,thumbnails/mouse_logitech_b100.jpg,0
Logitech G203 Lightsync,20,Optical,Wired,8000,Right,White,thumbnails/mouse_logitech_g203_lightsync.jpg,0
Redragon M656,16.98,Optical,Wireless,4000,Right,Red,thumbnails/mouse_redragon_m656.jpg,0
SteelSeries Rival 3,34.99,Optical,Wireless,18000,Right,Black,thumbnails/mouse_steelseries_rival_3.jpg,0
Razer Viper V2 Pro,83.99,Optical,Wireless,30000,Right,Black,thumbnails/mouse_razer_viper_v2_pro.jpg,0
Verbatim Bravo,5.85,Optical,Wired,,Both,Black,thumbnails/mouse_verbatim_bravo.jpg,0
Razer Basilisk V3 Pro w/Dock Pro,,Optical,"Wired,Wireless",Bluetooth Wireless,30000,thumbnails/mouse_razer_basilisk_v3_pro_w_dock_pro.jpg,0,
Corsair HARPOON RGB,64.98,Optical,Wireless,10000,Right,Black,thumbnails/mouse_corsair_harpoon_rgb.jpg,0
SteelSeries Aerox 5,99.95,Optical,Wired,Wired,Wireless,Bluetooth Wireless,thumbnails/mouse_steelseries_aerox_5.jpg,0
Asus ROG HARPE ACE AIM LAB EDITION,89.99,Optical,"Wired,Wireless",36000,Right,thumbnails/mouse_asus_rog_harpe_ace_aim_lab_edition.jpg,0,
Asus P707 ROG SPATHA X,117.99,Optical,Wireless,19000,Right,Black,thumbnails/mouse_asus_p707_rog_spatha_x.jpg,0
SteelSeries Rival 5,45.49,Optical,Wired,18000,Right,Black,thumbnails/mouse_steelseries_rival_5.jpg,0
Corsair NIGHTSWORD RGB,99.99,Optical,Wired,18000,Right,Black,thumbnails/mouse_corsair_nightsword_rgb.jpg,0
Corsair HARPOON RGB PRO,41.99,Optical,Wired,12000,Right,Black,thumbnails/mouse_corsair_harpoon_rgb_pro.jpg,0
Glorious MODEL O,43.99,Optical,Wired,12000,Right,White,thumbnails/mouse_glorious_model_o.jpg,0
Razer DeathAdder V2 X HyperSpeed,59.99,Optical,Wireless,Bluetooth Wireless,14000,Right,thumbnails/mouse_razer_deathadder_v2_x_hyperspeed.jpg,0
Endgame Gear OP1 8k,84.99,Optical,Wired,26000,Right,Black,thumbnails/mouse_endgame_gear_op1_8k.jpg,0
Logitech MX MASTER 3S,99.99,Optical,Wireless,8000,Right,White,thumbnails/mouse_logitech_mx_master_3s.jpg,0
Razer Viper Ultimate,134.99,Optical,Wireless,20000,Both,White,thumbnails/mouse_razer_viper_ultimate.jpg,0
SteelSeries Aerox 9,131.99,Optical,Wireless,18000,Right,Black,thumbnails/mouse_steelseries_aerox_9.jpg,0
Logitech PRO X Superlight 2,179.99,Optical,"Wired,Wireless",32000,Right,thumbnails/mouse_logitech_pro_x_superlight_2.jpg,0,
HP HyperX Pulsefire Haste 2,84.99,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_hp_hyperx_pulsefire_haste_2.jpg,0,
Razer Cobra,34.9,Optical,Wired,8500,Right,Black,thumbnails/mouse_razer_cobra.jpg,0
Corsair M65 RGB ULTRA WIRELESS,129.99,Optical,Wireless,26000,Right,Black / Silver,thumbnails/mouse_corsair_m65_rgb_ultra_wireless.jpg,0
Logitech G502 X,79.98,Optical,Wired,25600,Right,White,thumbnails/mouse_logitech_g502_x.jpg,0
Razer DeathAdder V3 Pro,119.99,Optical,Wireless,30000,Right,White,thumbnails/mouse_razer_deathadder_v3_pro.jpg,0
SteelSeries Aerox 3 (2022),79.98,Optical,"Wired,Wireless",Bluetooth Wireless,18000,thumbnails/mouse_steelseries_aerox_3__2022_.jpg,0,
Logitech G705,79.98,Optical,"Wired,Wireless",Bluetooth Wireless,8200,thumbnails/mouse_logitech_g705.jpg,0,
Logitech G403 HERO,56.99,Optical,Wired,25600,Right,Black / Blue,thumbnails/mouse_logitech_g403_hero.jpg,0
SteelSeries Prime,17.95,Optical,Wired,18000,Right,Black,,0
HP HyperX Pulsefire Haste,55.99,Optical,Wireless,16000,Right,Black,thumbnails/mouse_hp_hyperx_pulsefire_haste.jpg,0
Logitech M90,11.03,Optical,Wired,1000,Both,Black,thumbnails/mouse_logitech_m90.jpg,0
Glorious MODEL D,49.31,Optical,Wired,12000,Right,Black,thumbnails/mouse_glorious_model_d.jpg,0
Razer Viper Mini,115.55,Optical,Wired,8500,Right,Black,thumbnails/mouse_razer_viper_mini.jpg,0
Redragon Mammoth,29.99,Laser,Wired,16400,Right,Black / Red,thumbnails/mouse_redragon_mammoth.jpg,0
Glorious Model O 2,79.98,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_glorious_model_o_2.jpg,0,
Redragon M908 IMPACT MMO,36.99,Optical,Wired,12400,Right,Black,thumbnails/mouse_redragon_m908_impact_mmo.jpg,0
Logitech G604 LIGHTSPEED,295,Optical,Wireless,25600,Right,Black,thumbnails/mouse_logitech_g604_lightspeed.jpg,0
Logitech PRO 2 LIGHTSPEED,139.88,Optical,"Wired,Wireless",32000,Both,thumbnails/mouse_logitech_pro_2_lightspeed.jpg,0,
Corsair NIGHTSABRE RGB,99.99,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_corsair_nightsabre_rgb.jpg,0,
Razer Basilisk V3 Pro 35K,159.99,Optical,Wired,35000,Right,White,thumbnails/mouse_razer_basilisk_v3_pro_35k.jpg,0
Razer Viper V2 Pro,89.99,Optical,Wireless,30000,Right,White,thumbnails/mouse_razer_viper_v2_pro.jpg,0
MSI CLUTCH,19.98,Optical,Wired,4200,Right,Black,thumbnails/mouse_msi_clutch.jpg,0
Razer DeathAdder V2,124.95,Optical,Wired,20000,Right,Black,,0
Logitech G402,50.77,Optical,Wired,4000,Right,Black,thumbnails/mouse_logitech_g402.jpg,0
Corsair SCIMITAR ELITE WIRELESS MMO,88.79,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_corsair_scimitar_elite_wireless_mmo.jpg,0,
Logitech G502 SE HERO,40.48,Optical,Wired,25600,Right,Black / Silver,thumbnails/mouse_logitech_g502_se_hero.jpg,0
Glorious Model O,70.94,Optical,Wireless,19000,Right,Black,thumbnails/mouse_glorious_model_o.jpg,0
Corsair M75,69.98,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_corsair_m75.jpg,0,
Asus ROG Keris II WL Ace,139.99,Optical,"Wired,Wireless",Bluetooth Wireless,42000,thumbnails/mouse_asus_rog_keris_ii_wl_ace.jpg,0,
Redragon M602,19.98,Optical,Wired,7200,Right,Black,thumbnails/mouse_redragon_m602.jpg,0
Razer DeathAdder V3 Pro Faker Edition,239.99,Optical,"Wired,Wireless",30000,Right,,0,
Asus ROG Keris II WL Ace,139.99,Optical,"Wired,Wireless",Bluetooth Wireless,42000,thumbnails/mouse_asus_rog_keris_ii_wl_ace.jpg,0,
Asus ROG Chakram X Origin,119.25,Optical,"Wired,Wireless",Bluetooth Wireless,36000,thumbnails/mouse_asus_rog_chakram_x_origin.jpg,0,
Logitech G600 MMO Gaming Mouse,,Laser,Wired,8200,Right,Black,thumbnails/mouse_logitech_g600_mmo_gaming_mouse.jpg,0
HP HyperX Pulsefire Haste,49.99,Optical,Wired,16000,Right,Black,thumbnails/mouse_hp_hyperx_pulsefire_haste.jpg,0
Razer Orochi V2,39.89,Optical,Wireless,18000,Right,White,,0
Logitech MX Master 3,,Laser,Wireless,4000,Right,Black / Silver,thumbnails/mouse_logitech_mx_master_3.jpg,0
Dell MS116,7.49,Optical,Wired,1000,Both,Black,thumbnails/mouse_dell_ms116.jpg,0
Corsair IRONCLAW RGB WIRELESS,81.99,Optical,Wireless,18000,Right,Black,thumbnails/mouse_corsair_ironclaw_rgb_wireless.jpg,0
Glorious Model I 2,79.99,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_glorious_model_i_2.jpg,0,
Razer Basilisk X HyperSpeed,69.98,Optical,Wireless,16000,Right,Black / Green,thumbnails/mouse_razer_basilisk_x_hyperspeed.jpg,0
Logitech G502 X,139.99,Optical,Wired,Wired,Wireless,25600,thumbnails/mouse_logitech_g502_x.jpg,0
Logitech G102 LIGHTSYNC RGB,45,Optical,Wired,8000,Right,Black,thumbnails/mouse_logitech_g102_lightsync_rgb.jpg,0
Logitech MX MASTER 2S (Black),69.98,Laser,Wireless,4000,Right,Black,thumbnails/mouse_logitech_mx_master_2s__black_.jpg,0
FinalMouse Air58 Ninja,450,Optical,Wired,3200,Right,Blue,thumbnails/mouse_finalmouse_air58_ninja.jpg,0
Razer Naga Pro,256.69,Optical,Wireless,20000,Right,Black,thumbnails/mouse_razer_naga_pro.jpg,0
SteelSeries Rival 650 Wireless,68.98,Optical,Wireless,12000,Right,Black,thumbnails/mouse_steelseries_rival_650_wireless.jpg,0
Asus TUF Gaming M3 Gen II,22.99,Optical,Wired,8000,Right,Black / Yellow,thumbnails/mouse_asus_tuf_gaming_m3_gen_ii.jpg,0
Razer Viper 8KHz,79.88,Optical,Wired,20000,Both,Black,thumbnails/mouse_razer_viper_8khz.jpg,0
Glorious MODEL D,41.91,Optical,Wired,12000,Right,White,thumbnails/mouse_glorious_model_d.jpg,0
Corsair M75,69.98,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_corsair_m75.jpg,0,
Razer Cobra Pro,104.99,Optical,"Wired,Wireless",Bluetooth Wireless,30000,thumbnails/mouse_razer_cobra_pro.jpg,0,
Glorious Model O-,29.99,Optical,Wired,12000,Right,Black,thumbnails/mouse_glorious_model_o_.jpg,0
Kensington K74531WW,8.33,Optical,Wired,,Both,White,thumbnails/mouse_kensington_k74531ww.jpg,0
Verbatim 70233,8.99,Optical,Wired,,Both,Blue / Black,thumbnails/mouse_verbatim_70233.jpg,0
Glorious Model O 2 PRO,78.95,Optical,"Wired,Wireless",26000,Right,thumbnails/mouse_glorious_model_o_2_pro.jpg,0,
Glorious Model O 2,79.98,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_glorious_model_o_2.jpg,0,
Logitech M100,9.77,Optical,Wired,1000,Both,Black,thumbnails/mouse_logitech_m100.jpg,0
Corsair Scimitar Elite SE,139.99,Optical,Wireless,Bluetooth Wireless,33000,Right,thumbnails/mouse_corsair_scimitar_elite_se.jpg,0
Logitech G305 LIGHTSPEED,39,Optical,"Wired,Wireless",12000,Right,thumbnails/mouse_logitech_g305_lightspeed.jpg,0,
Logitech M330 SILENT PLUS,19.98,Optical,Wireless,1000,Right,Black,thumbnails/mouse_logitech_m330_silent_plus.jpg,0
Razer Basilisk Ultimate,179.99,Optical,"Wired,Wireless",20000,Right,thumbnails/mouse_razer_basilisk_ultimate.jpg,0,
Logitech G903,134.88,Optical,Wireless,12000,Both,Black / Blue,thumbnails/mouse_logitech_g903.jpg,0
Razer DeathAdder Elite,59,Optical,Wired,16000,Right,Black / Green,,0
Logitech M720 Triathlon,32.99,Optical,Bluetooth Wireless,1000,Right,Black,thumbnails/mouse_logitech_m720_triathlon.jpg,0
Logitech MX Vertical,94.98,Optical,Wireless,4000,Right,Gray / Silver,thumbnails/mouse_logitech_mx_vertical.jpg,0
Keychron M3,49,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_keychron_m3.jpg,0,
Razer Basilisk V3 Pro w/Dock Pro,199.99,Optical,"Wired,Wireless",Bluetooth Wireless,30000,thumbnails/mouse_razer_basilisk_v3_pro_w_dock_pro.jpg,0,
Razer Naga V2 HyperSpeed,71.98,Optical,Wireless,Bluetooth Wireless,30000,Right,thumbnails/mouse_razer_naga_v2_hyperspeed.jpg,0
Corsair M75 AIR,50.99,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_corsair_m75_air.jpg,0,
Rude Gamewear Fierce,18.98,Laser,Wired,5000,Both,Black,thumbnails/mouse_rude_gamewear_fierce.jpg,0
Razer Naga Trinity,,Optical,Wired,16000,Right,Black,thumbnails/mouse_razer_naga_trinity.jpg,0
Logitech PRO 2 LIGHTSPEED,121.6,Optical,"Wired,Wireless",32000,Both,thumbnails/mouse_logitech_pro_2_lightspeed.jpg,0,
Asus ROG Gladius III,56,Optical,Wired,26000,Right,Black,thumbnails/mouse_asus_rog_gladius_iii.jpg,0
HP HyperX Pulsefire Core RGB,,Optical,Wired,6200,Right,Black,thumbnails/mouse_hp_hyperx_pulsefire_core_rgb.jpg,0
Endgame Gear OP1 8k,84.99,Optical,Wired,26000,Right,White,thumbnails/mouse_endgame_gear_op1_8k.jpg,0
Corsair M65 RGB ULTRA WIRELESS,129.99,Optical,Wireless,26000,Right,Black / Silver,thumbnails/mouse_corsair_m65_rgb_ultra_wireless.jpg,0
Glorious Model I 2,79.98,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_glorious_model_i_2.jpg,0,
NZXT Lift Elite,79.98,Optical,"Wired,Wireless",26000,Right,thumbnails/mouse_nzxt_lift_elite.jpg,0,
Genius DX 120,,Optical,Wired,1000,Both,Black,thumbnails/mouse_genius_dx_120.jpg,0
Corsair M65 RGB ELITE,59.99,Optical,Wired,17997,Right,Black,thumbnails/mouse_corsair_m65_rgb_elite.jpg,0
Asus ROG HARPE ACE AIM LAB EDITION,89.99,Optical,"Wired,Wireless",36000,Right,thumbnails/mouse_asus_rog_harpe_ace_aim_lab_edition.jpg,0,
Glorious Model D-,37.99,Optical,Wired,12000,Right,Black,thumbnails/mouse_glorious_model_d_.jpg,0
Logitech G Pro X Superlight,159,Optical,Wireless,25400,Right,Pink,thumbnails/mouse_logitech_g_pro_x_superlight.jpg,0
HP HyperX Pulsefire Haste 2 Core,39.99,Optical,Wireless,Bluetooth Wireless,12000,Right,thumbnails/mouse_hp_hyperx_pulsefire_haste_2_core.jpg,0
Logitech G903 HERO,108.86,Optical,Wireless,25600,Both,Black,thumbnails/mouse_logitech_g903_hero.jpg,0
SteelSeries Prime+,17.05,Optical,Wired,18000,Right,Black,,0
Corsair IRONCLAW RGB FPS/MOBA,64.98,Optical,Wired,18000,Right,Black,thumbnails/mouse_corsair_ironclaw_rgb_fps_moba.jpg,0
Corsair DARK CORE RGB PRO,99.99,Optical,Wireless,18000,Right,Black,thumbnails/mouse_corsair_dark_core_rgb_pro.jpg,0
Razer Viper Ultimate w/Dock,234.99,Optical,Wireless,20000,Both,Pink,thumbnails/mouse_razer_viper_ultimate_w_dock.jpg,0
VisionTek OCPC MR44,39.99,Optical,Wired,16000,Right,Black / Red,thumbnails/mouse_visiontek_ocpc_mr44.jpg,0
NZXT Lift 2 Symm,21.73,Optical,Wired,26000,Right,Black,thumbnails/mouse_nzxt_lift_2_symm.jpg,0
SteelSeries Prime Mini,32.97,Optical,"Wired,Wireless",18000,Right,thumbnails/mouse_steelseries_prime_mini.jpg,0,
Razer Cobra Pro,129.99,Optical,"Wired,Wireless",Bluetooth Wireless,30000,thumbnails/mouse_razer_cobra_pro.jpg,0,
Cooler Master MM730,,Optical,Wired,16000,Right,Black,thumbnails/mouse_cooler_master_mm730.jpg,0
Logitech LIFT,79.98,Optical,Wireless,Bluetooth Wireless,4000,Right,thumbnails/mouse_logitech_lift.jpg,0
Asus ROG Strix Impact III,74.99,Optical,Wireless,Bluetooth Wireless,36000,Right,thumbnails/mouse_asus_rog_strix_impact_iii.jpg,0
Razer Viper Mini Signature Edition,,Optical,"Wired,Wireless",30000,Right,thumbnails/mouse_razer_viper_mini_signature_edition.jpg,0,
Corsair M75 AIR,50.99,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_corsair_m75_air.jpg,0,
Lamzu Maya X,,Optical,"Wired,Wireless",30000,Right,thumbnails/mouse_lamzu_maya_x.jpg,0,
Asus TUF Gaming M4 Air,49.99,Optical,Wired,16000,Right,Black,thumbnails/mouse_asus_tuf_gaming_m4_air.jpg,0
SteelSeries Aerox 5,79.98,Optical,Wired,18000,Right,Black,thumbnails/mouse_steelseries_aerox_5.jpg,0
Logitech G309 LIGHTSPEED,89.99,Optical,Wireless,Bluetooth Wireless,25600,Right,thumbnails/mouse_logitech_g309_lightspeed.jpg,0
Razer DeathAdder V2 Pro,78.05,Optical,Wireless,20000,Right,Black,thumbnails/mouse_razer_deathadder_v2_pro.jpg,0
SteelSeries Rival 600,136.52,Optical,Wired,12000,Right,Black,thumbnails/mouse_steelseries_rival_600.jpg,0
Logitech G602,240.87,Optical,Wireless,2500,Right,Black / Silver,thumbnails/mouse_logitech_g602.jpg,0
Logitech G309 LIGHTSPEED,69,Optical,Wireless,Bluetooth Wireless,25600,Right,thumbnails/mouse_logitech_g309_lightspeed.jpg,0
Glorious Model O,49.99,Optical,Wireless,19000,Right,White,thumbnails/mouse_glorious_model_o.jpg,0
Razer Orochi V2,40.92,Optical,Wireless,18000,Right,Black,,0
Razer Basilisk V3 35K,79,Optical,Wired,35000,Right,Black,thumbnails/mouse_razer_basilisk_v3_35k.jpg,0
Keychron M6 4000Hz,,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_keychron_m6_4000hz.jpg,0,
Corsair M75 RGB,129.99,Optical,Wireless,Bluetooth Wireless,26000,Both,thumbnails/mouse_corsair_m75_rgb.jpg,0
Razer Viper Ultimate,184.99,Optical,Wireless,20000,Both,Black,thumbnails/mouse_razer_viper_ultimate.jpg,0
Razer Naga V2 Pro w/Dock Pro,219.99,Optical,"Wired,Wireless",Bluetooth Wireless,30000,thumbnails/mouse_razer_naga_v2_pro_w_dock_pro.jpg,0,
Razer Viper V3 Pro Sentinels Edition,,Optical,"Wired,Wireless",35000,Right,thumbnails/mouse_razer_viper_v3_pro_sentinels_edition.jpg,0,
Lamzu Maya X,,Optical,"Wired,Wireless",30000,Right,thumbnails/mouse_lamzu_maya_x.jpg,0,
Pulsar X3,99.95,Optical,"Wired,Wireless",32000,Right,thumbnails/mouse_pulsar_x3.jpg,0,
Logitech PRO X SUPERLIGHT 2 DEX,179.99,Optical,"Wired,Wireless",44000,Right,thumbnails/mouse_logitech_pro_x_superlight_2_dex.jpg,0,
MSI CLUTCH GM51,97.99,Optical,"Wired,Wireless",26000,Right,thumbnails/mouse_msi_clutch_gm51.jpg,0,
Razer DeathAdder 2013,37.99,Optical,Wired,6400,Right,Black,thumbnails/mouse_razer_deathadder_2013.jpg,0
Glorious Model D 2 PRO,69.98,Optical,"Wired,Wireless",26000,Right,thumbnails/mouse_glorious_model_d_2_pro.jpg,0,
Asus P702 ROG GLADIUS II WIRELESS,198,Optical,Wireless,16000,Right,Black / Red,thumbnails/mouse_asus_p702_rog_gladius_ii_wireless.jpg,0
Logitech G502 Proteus Core,,Optical,Wired,12000,Right,Black / Blue,thumbnails/mouse_logitech_g502_proteus_core.jpg,0
Asus TUF Gaming M4 Wireless,58.99,Optical,Wireless,,Right,Black,thumbnails/mouse_asus_tuf_gaming_m4_wireless.jpg,0
Corsair M55,29.99,Optical,Wired,16000,Right,Black,thumbnails/mouse_corsair_m55.jpg,0
Logitech G900 CHAOS SPECTRUM,71.98,Optical,Wireless,12000,Both,Black,thumbnails/mouse_logitech_g900_chaos_spectrum.jpg,0
SteelSeries Aerox 3,99.99,Optical,Bluetooth Wireless,18000,Right,Black,thumbnails/mouse_steelseries_aerox_3.jpg,0
Corsair KATAR PRO XT,29.99,Optical,Wired,12400,Right,Black,thumbnails/mouse_corsair_katar_pro_xt.jpg,0
Logitech MX Master,198,Laser,Bluetooth Wireless,1600,Right,Brown / Black,thumbnails/mouse_logitech_mx_master.jpg,0
Razer Basilisk V2,67,Optical,Wired,20000,Right,Black,,0
Cooler Master MM710 Glossy Black,23.99,Optical,Wired,16000,Right,Black,thumbnails/mouse_cooler_master_mm710_glossy_black.jpg,0
Corsair DARKSTAR,99.99,Optical,Wireless,Bluetooth Wireless,26000,Right,thumbnails/mouse_corsair_darkstar.jpg,0
Corsair KATAR ELITE,79.99,Optical,"Wired,Wireless",Bluetooth Wireless,26000,thumbnails/mouse_corsair_katar_elite.jpg,0,
Corsair Scimitar Elite SE,139.99,Optical,Wireless,Bluetooth Wireless,33000,Right,thumbnails/mouse_corsair_scimitar_elite_se.jpg,0
Logitech ERGO M575S,44.99,Trackball,Wireless,Bluetooth Wireless,2000,Right,thumbnails/mouse_logitech_ergo_m575s.jpg,0
Logitech MX Ergo S Plus,109.99,Trackball,"Wired,Wireless",Bluetooth Wireless,2048,thumbnails/mouse_logitech_mx_ergo_s_plus.jpg,0,
Logitech M705,39.99,Laser,Wireless,,Right,Black,thumbnails/mouse_logitech_m705.jpg,0
Razer Orochi V2 Quartz,69.98,Optical,Wireless,18000,Right,Pink / Gray,thumbnails/mouse_razer_orochi_v2_quartz.jpg,0
Logitech M185,13.99,Optical,Wireless,,Both,Gray,thumbnails/mouse_logitech_m185.jpg,0
MSI CLUTCH GM31,30,Optical,"Wired,Wireless",12000,Right,thumbnails/mouse_msi_clutch_gm31.jpg,0,
Razer Viper,56.99,Optical,Wired,16000,Both,Black / Green,thumbnails/mouse_razer_viper.jpg,0
